practice_code,CCGgeogcode,2011regionname,listsize,bp-estimate,bp-max95,bp-min95,bp-qofprev,chd-estimate,chd-max95,chd-min95,chd-qofprev,copd-estimate,copd-max95,copd-min95,copd-qofprev,depression-estimate,depression-max95,depression-min95,depression-qofprev,pad-estimate,pad-max95,pad-min95,pad-qofprev,stroke_IMD-estimate,stroke_IMD-max95,stroke_IMD-min95,stroke-estimate,stroke-max95,stroke-min95,stroke-qofprev,undx_bp-estimate,undx_bp-max95,undx_bp-min95
J82157,E38000120,South East,13951.0,22.0878629745571,23.6894907296087,20.5653377455048,0.14070675937208801,7.09434332712748,7.75174162310827,6.48877510641012,3.4406135761,2.58069212810084,2.62554732871787,2.53658327744492,1.4550928249,15.2248336322673,16.8065032848074,13.7673828790128,9.59848310555781,1.00181354391615,1.27644911219403,0.785797114019567,0.6451150455,3.74706726963136,4.30250568670605,3.26089065504972,3.79021303657109,4.20941342283745,3.41127264066993,1.9711848613,12.2772811314407,13.2573194076851,11.3602033195192
J82161,E38000059,South East,10187.0,24.0603308858612,25.7439766930651,22.4534999063888,0.182880141356631,7.34527347036274,7.99462787010266,6.74479560455639,4.3879454206,2.9152183133823,2.96112774124735,2.86999961540546,1.8553057819,16.1890805457914,17.7346415568401,14.7540569685314,7.92307391600087,1.05410127751563,1.32824284284995,0.83606150850936,0.4810052027,3.89731466274084,4.4709785487912,3.39464104627527,3.91958775715152,4.35854208352195,3.52321257155268,1.9338372435,12.908813453711,13.879908261975901,11.9961963638262
J82163,E38000154,South East,8980.0,23.5809667683985,25.2941030761097,21.9497679386234,0.190089086859688,7.42950012502632,8.10604593849448,6.80523850227182,4.0534521158,2.39552545169342,2.43593786765655,2.35576729266604,1.6035634744,15.8512773688823,17.4453282091612,14.3775145624032,3.57117129552424,1.07352596864124,1.36255092734433,0.845283737162065,0.5567928731,3.90594145563642,4.47942877018134,3.40326002335325,3.94485212845124,4.36915931468383,3.56021711661396,1.8262806236,12.6766473276255,13.6890347992373,11.7289575487743
J82164,E38000154,South East,10573.0,21.8370688617718,23.4194155403208,20.3332476478676,0.146410668684385,6.95117798982982,7.57319767230206,6.37672273881637,2.9036224345,2.43206817804495,2.47475158608548,2.39010291226872,1.5889529935,15.3924661382439,17.0452740454389,13.8731215922057,6.47310769551411,0.998602498725376,1.26031880247798,0.790798624794894,0.6715218008,3.67040017678409,4.22423902362457,3.18675890928315,3.6856967698764,4.10199586583954,3.31018826399675,1.8916107065,12.2733991816591,13.248468498762,11.360695695219
J82165,E38000137,South East,5727.0,20.5885406587871,23.4921483680734,17.9595713636873,0.130085559629824,7.66037235938686,8.26367643222359,7.09770573595894,3.5620743845,3.140890033478,3.19354859175666,3.089072057489,1.7984983412,13.8277226371117,15.6023941007414,12.2256679206773,11.2463723199803,1.05473890892951,1.30946188715566,0.84913956845688,0.4889121704,4.06362133033964,4.67849797938878,3.52656578783394,3.92764041384565,4.36653235281012,3.53123378440585,2.0604155753,12.7533750246074,13.8610891151467,11.7221376909572
J82166,E38000198,South East,10499.0,29.4365245843793,31.2685246420113,27.6686509072781,0.224497571197257,7.58390072158866,8.29790819513062,6.9266905232394,5.3147918849,3.47904141066698,3.54261629423207,3.41656701448279,1.9811410611,16.0788336248769,17.7178748172643,14.5645778475024,4.82727771831013,1.09040296298774,1.38521787889126,0.857787510557557,0.8953233641,3.9302027186154,4.54261842781173,3.39741168895761,3.96878496488705,4.4191362865477,3.56261799486154,3.781312506,13.8886068908454,15.0668816511461,12.7886022556088
J82168,E38000137,South East,5899.0,18.9076319374178,23.0373789059649,15.3703465770134,0.126801152737752,7.32588874832327,7.94090408456843,6.75501064125198,3.6446855399,2.83699101215842,2.8786211492151,2.79594559131824,2.5258518393,12.8131164274236,14.7360057355909,11.1084532344387,8.22975135380855,0.974728412833796,1.22567955319242,0.7747551212584,0.728937108,3.56224086825283,4.07948638919227,3.10845254804156,3.67773669289168,4.10193254528396,3.29590080761112,1.6443464994,12.0865718816754,13.1794702853364,11.0727430056504
J82169,E38000198,South East,5245.0,18.9041177618902,20.3672125321806,17.5229979980927,0.124690181124881,6.52979223779239,7.10505841721404,5.99809549850001,2.4022878932,2.12965698075274,2.16409624425006,2.09575404094501,1.639656816,15.8943268467152,17.4278714057919,14.4720738995551,5.49663163690388,0.946504309062376,1.1987293363344,0.746948810451738,0.6482364156,3.40611305959805,3.90132568670637,2.97181606637987,3.34859799489936,3.75992048351475,2.9808790678034,1.2202097235,11.6693153951504,12.576458097458,10.8195072048999
J82171,E38000167,South East,8769.0,18.4799496841479,20.0441900098395,17.0118092197188,0.0992131371878207,7.04988859214042,7.6901497852751,6.45920381000522,2.9079712624,1.96708218554326,1.9946801341694,1.93985851807443,1.7333789486,16.0847914491149,17.6031004516943,14.6741178356422,11.9933841452829,0.967067429338418,1.23986749049764,0.753831660637747,0.5701904436,3.6287291411346,4.11176398240462,3.20054541599785,3.69374319571042,4.13279679728767,3.29972762543206,1.7447827574,11.5725877027095,12.4796072125314,10.7234133788534
J82174,E38000059,South East,13292.0,19.6341560723077,21.5068073678905,17.8874031169909,0.122178754137827,6.54881252330184,7.20255349044497,5.95060350565376,2.6331628047,1.75288642513821,1.79925128429225,1.70769556387724,1.2488715017,15.0333914855766,17.2792821329304,13.0334191411649,4.75487570791488,0.917961213528176,1.19732258889204,0.703316932028439,0.3235028589,3.49946489282171,4.23249952708755,2.88955533602501,3.57637097163167,4.01165170869386,3.18675199004616,1.4670478483,11.2969949527453,12.5765418155728,10.132541810153
