"","prac.code","bp","bp1","chd","depression","pad_IMD","pad","stroke.IMD","stroke","bp_notdiag","bp.qof","chd.qof","depression.qof"
"4509","J82101",21.94,0.22,7.46,17.47,1.02,1.07,3.87,3.91,12.61,0.13,3.66,7.49
"4510","J82102",21.87,0.22,6.95,15.37,0.91,0.97,3.78,3.81,12.11,0.17,3.65,7.1
"4511","J82103",20.29,0.2,6.95,16.17,0.94,0.99,3.64,3.66,11.95,0.13,3.17,12.48
"4512","J82104",26.26,0.26,7.45,15.66,0.98,1.05,3.99,4.06,12.89,0.22,4.81,5.77
"4513","J82106",21.52,0.22,6.27,15.02,0.84,0.9,3.43,3.41,12.62,0.14,2.56,6.41
"4514","J82110",19.22,0.19,6.77,14.04,0.87,0.92,3.52,3.6,11.27,0.13,2.6,5.18
"4515","J82112",21.48,0.21,6.65,16.13,0.9,0.95,3.53,3.55,12.52,0.15,3.25,8.64
"4516","J82113",22.41,0.22,6.89,17.59,0.95,1,3.71,3.67,12.86,0.12,3.01,1.36
"4517","J82114",19.75,0.2,6.98,17.71,0.95,0.99,3.71,3.71,11.85,0.16,3.14,10.38
"4518","J82115",16.55,0.17,6.87,15.56,0.9,0.94,3.29,3.5,10.85,0.08,2.25,5.38
"4519","J82116",21.23,0.21,6.52,14.68,0.86,0.92,3.45,3.52,11.76,0.13,3,6.78
"4520","J82117",18.74,0.19,7.11,16.17,0.97,1,3.68,3.68,11.63,0.14,3.13,6.46
"4521","J82119",22.3,0.22,6.67,15.1,0.88,0.94,3.59,3.65,12.69,0.15,3.76,7.33
"4522","J82120",20.28,0.2,7.1,14.09,0.93,0.97,3.64,3.7,11.81,0.13,2.98,9.69
"4523","J82121",22.16,0.22,6.87,15.82,0.91,0.97,3.53,3.67,12.03,0.16,3.64,7.52
"4524","J82122",18.23,0.18,8.03,11.34,1.01,1,3.61,3.78,11.62,0.13,2.41,4.3
"4525","J82123",19.71,0.2,7.27,15.09,0.95,1,3.63,3.77,11.75,0.13,3.02,14.27
"4526","J82124",22.7,0.23,6.68,14.91,0.87,0.93,3.66,3.67,12.82,0.14,3.29,6.44
"4527","J82125",18.88,0.19,6.93,14.52,0.93,0.97,3.49,3.59,11.49,0.14,2.68,10.7
"4528","J82126",20.08,0.2,7.65,13.65,1,1.03,3.72,3.82,12.11,0.13,2.58,5.4
"4529","J82127",21.87,0.22,7.34,17.84,1.05,1.1,3.84,3.83,12.54,0.15,3.96,11.56
"4530","J82128",20.5,0.21,7.24,17.42,0.99,1.03,3.77,3.77,12.21,0.13,2.63,10.14
"4531","J82129",26.09,0.26,7.38,15.43,1,1.07,3.73,3.8,13.22,0.15,3.83,3.93
"4532","J82130",17.24,0.17,6.36,13.87,0.84,0.89,3.42,3.44,10.51,0.1,2.15,7.32
"4533","J82131",24.94,0.25,6.9,15.67,0.96,1,3.76,3.65,13.63,0.17,4.49,10.21
"4534","J82132",22.19,0.22,6.93,16.3,0.94,0.99,3.62,3.65,12.65,0.15,3.06,6.67
"4535","J82133",23.1,0.23,7.43,17.05,1.06,1.11,3.96,3.92,13.15,0.16,3.94,10.26
"4536","J82134",22.18,0.22,7.54,16.96,1.04,1.1,3.95,3.98,12.41,0.15,3.73,10.29
"4537","J82135",19.73,0.2,6.87,14.17,0.89,0.94,3.57,3.66,11.42,0.13,2.85,8.06
"4538","J82136",20.93,0.21,6.45,15.42,0.87,0.93,3.43,3.49,11.86,0.12,2.59,11.95
"4539","J82138",20.23,0.2,6.39,14.71,0.84,0.89,3.46,3.48,11.9,0.12,2.48,10.62
"4540","J82139",28.14,0.28,7.38,15.65,0.98,1.05,3.9,3.9,13.97,0.19,4.69,5.91
"4541","J82141",22.52,0.23,7.23,17.15,0.99,1.03,3.77,3.77,12.8,0.14,3.24,4.76
"4542","J82142",19.22,0.19,6.86,14.89,0.9,0.94,3.52,3.58,11.94,0.11,2.61,8.83
"4543","J82143",21.41,0.21,6.77,14.51,0.87,0.93,3.52,3.61,11.83,0.11,2.69,5.26
"4544","J82144",18.97,0.19,6.98,14.96,0.92,0.97,3.53,3.65,11.58,0.1,2.45,9.71
"4545","J82145",23.38,0.23,6.61,15.59,0.88,0.93,3.56,3.56,12.81,0.16,2.9,8.47
"4546","J82146",25.63,0.26,7.1,16.08,0.98,1.05,3.51,3.62,13.49,0.13,4,8.49
"4547","J82147",20.93,0.21,6.68,15.26,0.91,0.97,3.46,3.53,12.05,0.12,3.01,2.71
"4548","J82149",18.36,0.18,6.71,16.82,0.91,0.95,3.48,3.55,11.49,0.1,2.43,5.81
"4549","J82150",25.74,0.26,7.09,16.14,0.95,1,3.85,3.81,13.46,0.15,4.39,4.11
"4550","J82151",24.73,0.25,6.84,16.03,0.94,0.99,3.67,3.62,13.39,0.15,4.97,2.91
"4551","J82152",22.25,0.22,7.3,17.51,1,1.04,3.83,3.88,12.57,0.14,3.53,3.65
"4552","J82154",22.3,0.22,7.26,16.33,0.98,1.05,3.76,3.88,12.15,0.16,3.64,5.77
"4553","J82155",19.2,0.19,6.96,17.44,0.96,1,3.7,3.67,11.66,0.13,3.22,2.86
"4554","J82156",25.34,0.25,7.43,16.08,1.04,1.08,3.92,3.81,13.69,0.18,4.02,4.72
"4555","J82157",22.09,0.22,7.09,15.22,0.94,1,3.75,3.79,12.28,0.14,3.44,9.6
"4556","J82161",24.06,0.24,7.35,16.19,0.99,1.05,3.9,3.92,12.91,0.18,4.39,7.92
"4557","J82163",23.58,0.24,7.43,15.85,1.01,1.07,3.91,3.94,12.68,0.19,4.05,3.57
"4558","J82164",21.84,0.22,6.95,15.39,0.94,1,3.67,3.69,12.27,0.15,2.9,6.47
"4559","J82165",20.59,0.21,7.66,13.83,1.05,1.05,4.06,3.93,12.75,0.13,3.56,11.25
"4560","J82166",29.44,0.29,7.58,16.08,1.02,1.09,3.93,3.97,13.89,0.22,5.31,4.83
"4561","J82168",18.91,0.19,7.33,12.81,0.96,0.97,3.56,3.68,12.09,0.13,3.64,8.23
"4562","J82169",18.9,0.19,6.53,15.89,0.92,0.95,3.41,3.35,11.67,0.12,2.4,5.5
"4563","J82171",18.48,0.18,7.05,16.08,0.93,0.97,3.63,3.69,11.57,0.1,2.91,11.99
"4564","J82174",19.63,0.2,6.55,15.03,0.86,0.92,3.5,3.58,11.3,0.12,2.63,4.75
"4565","J82175",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.17,NA,NA
"4566","J82177",16.42,0.16,7.5,13.13,1,1.03,3.53,3.67,10.78,0.11,3.17,4.65
"4567","J82178",18.12,0.18,7.36,14.33,0.99,1.02,3.6,3.69,11.3,0.15,2.47,12.44
"4568","J82180",19.82,0.2,7.29,16.49,1.01,1.04,3.9,3.76,12.08,0.12,2.92,6.69
"4569","J82181",17.48,0.17,7.05,14.67,0.93,0.96,3.39,3.56,11.02,0.13,2.26,4.32
"4570","J82182",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,NA,NA
"4571","J82183",19.32,0.19,7.17,11.41,0.9,0.92,3.41,3.58,12.03,0.11,2.51,4.08
"4572","J82184",17.92,0.18,6,15.69,0.84,0.89,3.1,3.17,11.43,0.13,2.32,7.4
"4573","J82187",18.66,0.19,6.74,19.03,0.96,1.01,3.53,3.46,11.5,0.12,2.84,9.38
"4574","J82188",17.8,0.18,6.36,16.61,0.89,0.93,3.49,3.39,11.45,0.11,2.28,6.55
"4575","J82190",22.16,0.22,7.22,14.89,0.93,0.99,3.75,3.84,12.05,0.14,2.78,3.31
"4576","J82191",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14,NA,NA
"4577","J82192",17.6,0.18,6.41,15.4,0.87,0.93,3.37,3.42,10.98,0.12,1.98,9.36
"4578","J82194",19.73,0.2,7.47,14.17,1.01,1.03,3.87,3.84,12.41,0.15,2.95,10.81
"4579","J82195",16.43,0.16,6.18,14.66,0.83,0.88,3.18,3.27,10.68,0.09,1.79,7.92
"4580","J82196",23.05,0.23,7.19,18.54,1.01,1.06,3.83,3.81,12.8,0.13,4.69,6.6
"4581","J82197",22.77,0.23,6.58,14.66,0.86,0.92,3.51,3.58,12.62,0.14,2.77,8.96
"4582","J82198",19.93,0.2,7.93,13.29,1.05,1.07,3.79,3.9,12.05,0.13,2.48,7.47
"4583","J82199",4.13,0.04,7.01,11.79,0.89,0.89,3.54,3.59,5.48,0,0.09,2.87
"4584","J82201",21.14,0.21,6.54,15.6,0.87,0.94,3.44,3.53,12.3,0.12,2.62,6.8
"4585","J82203",19.2,0.19,7.22,16.33,0.96,0.99,3.71,3.71,11.75,0.11,2.27,4
"4586","J82206",16.75,0.17,5.66,14.98,0.77,0.82,3.04,3.08,10.56,0.11,1.98,12.32
"4587","J82207",16.78,0.17,6.8,13.27,0.88,0.9,3.34,3.45,11.16,0.11,1.98,8.12
"4588","J82208",20.68,0.21,7.1,17.77,0.97,1.01,3.77,3.76,12.26,0.13,3.11,11.48
"4589","J82210",28.26,0.28,8.23,17.07,1.15,1.21,4.42,4.32,14.44,0.22,4.49,5.81
"4590","J82212",18.76,0.19,6.71,14.19,0.93,0.95,3.56,3.47,12.07,0.11,2.39,6.2
"4591","J82213",19.02,0.19,6.79,18.3,0.94,0.97,3.6,3.49,11.64,0.12,2.73,14.27
"4592","J82214",21.26,0.21,6.86,15.54,0.93,0.99,3.67,3.72,11.85,0.16,3.06,6.89
"4593","J82215",26.91,0.27,7.57,15.9,1.02,1.09,4.06,4.08,13.74,0.2,4.44,8.24
"4594","J82216",23.55,0.24,7.48,14.84,0.98,1.05,3.92,4.01,12.57,0.18,3.27,5.27
"4595","J82217",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03,NA,NA
"4596","J82218",16.34,0.16,6.02,14.67,0.8,0.85,3.18,3.26,10.55,0.08,1.52,7.83
"4597","J82220",13.79,0.14,6.17,15.46,0.84,0.87,3.3,3.27,10.28,0.06,1.17,9.84
"4598","J82605",10.11,0.1,6.89,10.61,0.89,0.9,3.32,3.4,8.48,0.07,1.86,9.36
"4599","J82609",22.13,0.22,7.06,16.79,0.97,1.04,3.77,3.81,12.17,0.16,3.54,10.19
"4600","J82619",18.96,0.19,7.72,12.11,0.97,1,3.54,3.84,11.99,0.14,2.99,9.77
"4601","J82622",22.38,0.22,7.39,17.46,1.01,1.06,3.85,3.84,12.7,0.15,3.4,9
"4602","J82625",22.84,0.23,6.46,15.01,0.85,0.92,3.48,3.55,12.53,0.17,3.07,12.75
"4603","J82628",18.61,0.19,6.54,14.52,0.85,0.91,3.48,3.55,11.08,0.14,2.1,9.74
"4604","J82629",21.79,0.22,6.55,16.08,0.89,0.94,3.47,3.5,12.93,0.15,2.38,9.83
"4605","J82630",15,0.15,6.59,14.56,0.89,0.9,3.46,3.42,10.67,0.09,1.48,11.22
"4606","J82631",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA
"4607","J82633",21.4,0.21,6.97,15.21,0.95,1,3.62,3.66,12.48,0.14,3.44,6.55
"4608","J82639",21.31,0.21,6.57,15.28,0.9,0.94,3.71,3.58,12.64,0.14,3,8.04
"4609","J82640",21.06,0.21,6.59,15.43,0.9,0.96,3.54,3.56,11.94,0.14,3.22,5.2
"4610","J82646",19.53,0.2,7.08,19.53,1,1.05,3.81,3.76,11.83,0.12,3.09,6.37
"4611","J82648",23.48,0.23,7.14,16.34,0.96,1.03,3.83,3.86,12.7,0.15,3.36,6.28
"4612","J82650",20.71,0.21,7.52,19.14,1.04,1.09,4.06,4.01,12.2,0.13,3.87,5.86
"4613","J82663",9.28,0.09,7.11,10.85,0.88,0.9,3.34,3.53,7.85,0.06,1.24,7.94
"4614","J82669",19.19,0.19,7.24,18.08,1.04,1.09,3.76,3.7,11.71,0.09,2.17,11.49
"4615","J82688",14.64,0.15,6.18,15.14,0.84,0.88,3.26,3.33,10.06,0.07,1.56,10.09
"4616","J83001",23.65,0.24,7.42,16.05,0.98,1.04,3.9,3.9,13.1,0.18,3.37,6.28
"4617","J83002",23.65,0.24,7.56,15.87,1.03,1.09,3.89,3.9,12.99,0.17,4.03,2.4
"4618","J83003",23.32,0.23,7.21,15.9,0.97,1.02,3.87,3.87,12.83,0.18,3.85,8.22
"4619","J83004",24.07,0.24,6.71,15.33,0.88,0.94,3.65,3.67,13.03,0.15,3.37,3.81
"4620","J83005",20.51,0.21,6.46,16.05,0.88,0.93,3.54,3.52,12.22,0.13,2.98,5.55
"4621","J83006",22.93,0.23,6.96,15.86,0.93,0.99,3.59,3.74,12.36,0.15,3.51,2.81
"4622","J83007",19.04,0.19,6.72,16.25,0.9,0.96,3.53,3.59,11.46,0.14,2.77,4.95
"4623","J83008",21.14,0.21,7.08,16.57,0.97,1.03,3.7,3.71,12.25,0.13,3.1,7.29
"4624","J83009",23.63,0.24,7.33,15.79,0.99,1.04,4.01,3.91,13.29,0.16,3.83,7.82
"4625","J83010",22.27,0.22,6.77,15.71,0.9,0.95,3.85,3.74,12.82,0.15,3.36,5.84
"4626","J83011",23.47,0.23,7.32,16.09,1.01,1.05,3.98,3.87,13.28,0.21,4.3,8.53
"4627","J83013",22.75,0.23,6.58,15.57,0.88,0.93,3.62,3.61,12.48,0.16,2.97,4.05
"4628","J83014",19.26,0.19,6.88,15.04,0.96,1.01,3.53,3.5,11.8,0.13,2.98,8.59
"4629","J83016",19.99,0.2,6.85,16.84,0.94,0.99,3.62,3.61,11.95,0.14,2.67,7.1
"4630","J83017",24.23,0.24,6.6,15.93,0.92,0.96,3.76,3.6,13.57,0.18,3.21,4.84
"4631","J83018",23.93,0.24,7.06,15.92,0.98,1.02,3.92,3.79,13.19,0.15,4.14,5.23
"4632","J83019",25.65,0.26,7.01,15.99,0.99,1.02,3.98,3.76,14.15,0.18,4.23,9.33
"4633","J83020",23.18,0.23,6.96,15.95,0.93,0.99,3.76,3.76,12.69,0.15,3.66,7.57
"4634","J83021",19.78,0.2,6.56,16.88,0.9,0.95,3.52,3.5,11.8,0.12,2.98,8.63
"4635","J83022",18.74,0.19,6.81,15.31,0.9,0.93,3.49,3.49,11.69,0.11,1.59,5.47
"4636","J83023",22.19,0.22,6.63,15.83,0.94,0.98,3.66,3.54,12.87,0.16,4.03,11.24
"4637","J83024",22.05,0.22,7.65,18.02,1.04,1.08,3.91,3.77,12.42,0.17,3.47,11.49
"4638","J83025",21.29,0.21,7.24,15.86,0.97,0.99,3.62,3.62,12.49,0.14,3.06,3.5
"4639","J83026",23.65,0.24,6.92,15.64,0.92,0.98,3.72,3.75,13.03,0.16,4.06,5.87
"4640","J83027",21.8,0.22,7.46,17.34,0.99,1.03,3.72,3.77,12.43,0.14,3.41,7.39
"4641","J83028",20.34,0.2,6.81,16.48,0.94,0.98,3.63,3.59,12.12,0.14,2.83,7.73
"4642","J83029",23.08,0.23,7.03,15.65,0.93,0.98,3.81,3.84,12.79,0.15,3.79,4.96
"4643","J83030",23.26,0.23,7.08,15.71,0.97,1.03,3.75,3.75,12.68,0.17,3.44,8.36
"4644","J83031",21.36,0.21,7.34,16.98,0.98,1.03,3.67,3.7,12.21,0.15,3.55,9.32
"4645","J83032",22.22,0.22,6.69,16.37,0.91,0.96,3.57,3.58,12.44,0.13,3.54,7.5
"4646","J83033",19.83,0.2,7.82,15.63,1.02,1.04,3.74,3.84,11.94,0.14,2.49,8.52
"4647","J83034",24.03,0.24,7.12,15.99,0.98,1.03,3.84,3.81,13.29,0.15,3.72,5.24
"4648","J83035",18.24,0.18,6.73,17.28,0.92,0.96,3.5,3.49,11.42,0.11,2.11,9.93
"4649","J83036",19.92,0.2,6.35,15.78,0.86,0.9,3.17,3.24,11.91,0.14,2.99,11.75
"4650","J83037",21.82,0.22,6.75,14.97,0.89,0.94,3.64,3.7,12.38,0.13,2.73,4.31
"4651","J83038",21.14,0.21,7.73,18.06,1.04,1.07,3.99,3.85,12.19,0.16,3.51,12.54
"4652","J83039",21.81,0.22,7.04,16.17,0.99,1.03,3.8,3.73,12.66,0.17,2.87,7.95
"4653","J83040",21.75,0.22,7.07,16.57,0.98,1.03,3.83,3.75,12.72,0.16,3.52,11.1
"4654","J83041",22.32,0.22,6.64,15.41,0.89,0.94,3.6,3.6,12.82,0.14,2.86,5.29
"4655","J83042",21.6,0.22,7.03,15.87,0.94,0.99,3.68,3.75,12.23,0.13,3.28,4.52
"4656","J83043",24.74,0.25,6.87,15.51,0.9,0.96,3.71,3.78,12.98,0.17,4.31,2.58
"4657","J83044",21.08,0.21,6.74,16.72,0.94,0.98,3.58,3.54,12.42,0.15,2.46,7.08
"4658","J83045",22.37,0.22,6.55,15.47,0.87,0.93,3.49,3.57,12.32,0.13,3,4.27
"4659","J83046",21.23,0.21,6.79,16.68,0.95,0.99,3.72,3.64,12.52,0.14,2.99,6.27
"4660","J83047",21.14,0.21,7.3,16.71,0.96,1.01,3.55,3.7,12.06,0.14,3,5.79
"4661","J83048",21.77,0.22,6.85,15.9,0.93,0.98,3.69,3.69,12.69,0.16,3.74,10.1
"4662","J83049",21.66,0.22,6.76,16.69,0.93,0.99,3.59,3.61,12.6,0.14,3.19,11.23
"4663","J83050",21.22,0.21,6.37,16.49,0.88,0.94,3.46,3.44,12.37,0.13,3.03,7.03
"4664","J83052",20.5,0.21,6.49,16.49,0.87,0.92,3.49,3.51,12.02,0.13,2.4,4.65
"4665","J83053",23.01,0.23,7.12,16.35,0.97,1.03,3.78,3.79,13.06,0.18,3.35,5.09
"4666","J83054",23.87,0.24,7.42,15.07,0.98,1.01,3.74,3.76,13.22,0.17,3.77,8.81
"4667","J83055",21.52,0.22,6.58,16.07,0.9,0.95,3.54,3.55,12.24,0.15,3.46,4.72
"4668","J83056",23.22,0.23,6.51,15.89,0.9,0.95,3.44,3.48,13.14,0.15,3.22,4.87
"4669","J83057",20.19,0.2,7.33,16.09,0.98,1.03,3.79,3.83,11.94,0.15,2.72,9.55
"4670","J83058",25.47,0.25,6.92,15.89,0.96,0.99,4.01,3.75,14.39,0.15,3.89,5.31
"4671","J83059",22.8,0.23,7.42,15.63,0.97,1.01,3.8,3.83,12.54,0.15,3.52,2.59
"4672","J83060",26.06,0.26,7.32,16.42,1,1.06,4.01,3.96,13.81,0.2,4.46,6
"4673","J83062",23.62,0.24,7.07,16.57,0.97,1.02,3.89,3.81,13.24,0.15,4,5.81
"4674","J83063",12.7,0.13,5.88,14.98,0.79,0.84,3.04,3.12,9.66,0.05,0.63,4.72
"4675","J83064",17.55,0.18,6.18,15.45,0.84,0.88,3.08,3.18,11.08,0.13,2.38,8.6
"4676","J83601",22.16,0.22,6.79,15.65,0.92,0.98,3.66,3.67,12.61,0.15,2.62,6.93
"4677","J83603",22.1,0.22,6.38,15.58,0.85,0.9,3.43,3.49,13.02,0.14,2.72,3.39
"4678","J83609",23.34,0.23,6.58,15.99,0.86,0.93,3.45,3.6,12.73,0.2,3.14,3.01
"4679","J83615",22.74,0.23,6.8,15.99,0.94,0.99,3.66,3.61,13.33,0.13,3.47,7.07
"4680","J83618",21.94,0.22,6.73,15.08,0.91,0.96,3.53,3.58,12.27,0.15,2.52,4.88
"4681","J83619",24.64,0.25,7.03,15.49,0.95,1.02,3.71,3.76,13.63,0.15,3.61,7.03
"4682","J83625",17.13,0.17,5.7,15.84,0.8,0.85,3.03,3.08,10.72,0.13,1.79,7.21
"4683","J83629",27.56,0.28,7.34,15.78,0.99,1.05,3.92,3.95,14.62,0.23,4.99,1.69
"4684","J83630",27.37,0.27,7.1,15.75,0.99,1.01,4.19,3.84,15.04,0.17,3.48,4.45
"4685","J83632",20.04,0.2,6.24,15.58,0.87,0.91,3.44,3.34,11.9,0.1,3.73,8.72
"4686","J83633",20.24,0.2,7.08,15.51,0.93,0.96,3.54,3.58,12.02,0.15,3.1,7.66
"4687","J83636",19.19,0.19,6.54,16.21,0.9,0.95,3.55,3.51,11.83,0.12,1.95,6.87
"4688","J83642",22.37,0.22,6.57,16.53,0.92,0.97,3.64,3.53,12.64,0.16,3.83,8.64
"4689","J83643",17.53,0.18,6.51,15.13,0.91,0.96,3.32,3.33,11.14,0.08,1.93,9.39
"4690","J83644",20.98,0.21,7.18,16.3,0.93,0.97,3.56,3.68,12.09,0.17,3.41,4.88
"4691","J83645",19.14,0.19,6.38,16.66,0.88,0.91,3.26,3.24,11.7,0.13,2.71,9.56
"4692","J83646",19.01,0.19,7.56,15.29,0.98,0.99,3.78,3.76,11.88,0.12,2.19,5.97
"4693","J83649",21.29,0.21,6.68,16.24,0.9,0.96,3.48,3.53,12.58,0.17,3.68,8.15
"4694","J84003",27.63,0.28,7.4,18.4,1,1.06,3.8,3.87,14.15,0.17,3.92,9.47
"4695","J84004",23.86,0.24,7.15,17.94,0.99,1.04,3.86,3.8,13.18,0.17,3.36,5.06
"4696","J84005",24.25,0.24,7.27,17.88,0.97,1.03,3.87,3.88,13.26,0.17,3.52,5.08
"4697","J84007",30.19,0.3,7.75,15.8,1.01,1.08,4.09,4.18,14.5,0.2,5.19,3.58
"4698","J84008",24.2,0.24,7.27,17.91,0.97,1.03,3.9,3.91,13.28,0.15,3.27,3.09
"4699","J84010",26.37,0.26,7.34,17.68,0.99,1.05,3.89,3.91,13.96,0.2,4.64,9.11
"4700","J84011",22.09,0.22,6.93,17.92,0.93,0.99,3.72,3.73,12.65,0.13,2.9,2.05
"4701","J84012",22.41,0.22,6.82,17.98,0.91,0.97,3.6,3.63,12.73,0.13,2.84,6.58
"4702","J84013",25.33,0.25,7.47,17.63,1.02,1.09,3.7,3.91,13.41,0.2,4.52,10.84
"4703","J84014",22.86,0.23,7.36,18.33,0.99,1.04,3.92,3.9,12.82,0.17,4.01,8.24
"4704","J84015",23.19,0.23,7.07,16.63,0.93,0.99,3.78,3.82,13.13,0.14,3.14,4.87
"4705","J84016",28.59,0.29,7.29,17.08,1.01,1.07,3.91,3.92,14.74,0.27,6.5,5.4
"4706","J84017",24.31,0.24,7.36,17.73,1,1.05,3.98,3.91,13.32,0.16,3.67,4.7
"4707","J84018",27.01,0.27,7.24,18.52,1,1.05,3.73,3.79,13.96,0.19,4.91,3.57
"4708","J84019",29.94,0.3,7.45,17.32,1,1.05,4.07,4.04,14.84,0.21,5.19,3.77
"4709","J84020",24.87,0.25,7.07,17.95,0.94,1.01,3.56,3.75,13.22,0.15,3.7,8.08
"4710","J84602",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,NA,NA
"4711","K81001",19.38,0.19,6.81,14.48,0.92,0.94,3.61,3.55,12.02,0.1,2.58,7.36
"4712","K81002",17.16,0.17,6.43,15.66,0.86,0.9,3.41,3.39,11.24,0.1,1.9,7.58
"4713","K81003",19.12,0.19,6.52,14.19,0.85,0.9,3.35,3.43,11.5,0.11,2.31,3.59
"4714","K81004",20.53,0.21,7.17,14.28,0.94,0.97,3.6,3.64,11.81,0.16,2.55,14.47
"4715","K81005",19.39,0.19,8.95,10.15,1.07,0.99,3.53,3.77,10.98,0.11,2.75,5.88
"4716","K81006",19.39,0.19,6.69,14.27,0.89,0.94,3.37,3.46,11.63,0.13,2.53,11.37
"4717","K81007",17.77,0.18,7.39,11.8,0.9,0.88,3.4,3.52,11.41,0.11,2.09,6.22
"4718","K81010",18.87,0.19,6.13,13.64,0.8,0.84,3.16,3.24,11.16,0.09,2.34,6.27
"4719","K81012",20.88,0.21,6.63,14.41,0.85,0.91,3.51,3.59,11.89,0.12,2.66,6.99
"4720","K81014",19.26,0.19,6.84,14.08,0.88,0.91,3.64,3.63,11.48,0.13,2.25,8.74
"4721","K81015",19.1,0.19,6.04,14.17,0.83,0.86,3.08,3.05,11.71,0.14,3.14,3.67
"4722","K81017",21.76,0.22,7.09,14.97,0.93,0.98,3.74,3.74,12.62,0.15,3.12,8.06
"4723","K81018",20.6,0.21,6.85,13.13,0.88,0.91,3.38,3.43,11.7,0.12,2.53,3.97
"4724","K81019",15.94,0.16,6.83,13.59,0.89,0.89,3.51,3.4,10.6,0.11,2.41,10.1
"4725","K81020",19.43,0.19,7.01,13.23,0.9,0.93,3.45,3.49,11.41,0.11,2.75,1.66
"4726","K81021",20.07,0.2,6.96,13.17,0.93,0.93,3.55,3.44,12.01,0.13,3.44,7.2
"4727","K81022",20.59,0.21,7.09,14.28,0.93,0.98,3.62,3.73,11.58,0.13,2.7,4.29
"4728","K81023",21.35,0.21,6.87,14.16,0.89,0.95,3.49,3.64,11.99,0.15,2.92,7.9
"4729","K81024",20.69,0.21,8.43,11.59,1.05,1,3.65,3.76,11.63,0.12,2.46,4.33
"4730","K81025",19.81,0.2,6.15,14.37,0.81,0.86,3.28,3.32,11.57,0.12,2.42,7.23
"4731","K81026",17.32,0.17,7.11,12.47,0.89,0.88,3.18,3.4,11.02,0.13,1.69,0.87
"4732","K81027",21.29,0.21,6.91,14.84,0.92,0.96,3.75,3.68,12.57,0.15,2.87,5.04
"4733","K81028",20.37,0.2,6.35,13.57,0.82,0.87,3.29,3.38,11.46,0.13,2.72,4.33
"4734","K81030",17.88,0.18,6.93,14.84,0.95,0.99,3.5,3.5,11.3,0.14,2.53,1.54
"4735","K81032",18.47,0.18,6.39,14.97,0.89,0.92,3.34,3.3,11.76,0.09,2.47,6.74
"4736","K81034",19.54,0.2,8.79,9.73,1.02,0.93,3.34,3.65,10.97,0.11,2.42,3.46
"4737","K81036",18.56,0.19,7.03,13.46,0.91,0.93,3.51,3.52,11.3,0.11,2.6,4.38
"4738","K81039",20.31,0.2,7.89,13.74,1.02,1.01,3.34,3.58,11.36,0.13,3.51,15.81
"4739","K81040",18.48,0.18,7.45,12.74,0.95,0.94,3.53,3.58,11.42,0.13,2.21,8.33
"4740","K81041",20.6,0.21,6.96,14.09,0.9,0.94,3.61,3.68,11.57,0.13,2.89,7.69
"4741","K81042",21.46,0.21,6.45,14.26,0.85,0.89,3.42,3.43,12.18,0.14,3.77,6.65
"4742","K81043",20.04,0.2,8.78,10.58,1.05,0.99,3.42,3.72,11.08,0.13,2.62,6.33
"4743","K81044",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,NA
"4744","K81045",19,0.19,7.59,11.83,0.95,0.96,3.68,3.77,11.33,0.12,2.52,5.08
"4745","K81046",18.29,0.18,6.79,13.87,0.87,0.91,3.41,3.48,11.22,0.12,2.29,5.5
"4746","K81047",18.15,0.18,6.41,12.87,0.84,0.86,3.09,3.19,10.78,0.11,2.08,10.15
"4747","K81048",17.94,0.18,7.02,13.63,0.91,0.91,3.28,3.36,11.16,0.11,2.04,8.6
"4748","K81050",19.62,0.2,6.35,15.01,0.85,0.9,3.46,3.41,12.3,0.12,2.19,6.5
"4749","K81051",18.47,0.18,6.89,13.79,0.9,0.93,3.53,3.54,10.99,0.13,2.56,6.35
"4750","K81052",21.43,0.21,6.73,15.59,0.92,0.95,3.76,3.62,12.97,0.14,3.2,7.31
"4751","K81055",22.01,0.22,6.93,14.47,0.92,0.98,3.57,3.65,12.29,0.15,3.45,7.14
"4752","K81056",20.73,0.21,7.21,13.9,0.91,0.93,3.6,3.66,11.89,0.18,3.02,4.86
"4753","K81057",21.69,0.22,6.78,15.62,0.9,0.96,3.6,3.66,12.51,0.14,2.62,2.8
"4754","K81059",19.46,0.19,6.79,14.46,0.9,0.94,3.54,3.56,11.66,0.11,2.78,12.15
"4755","K81060",17.54,0.18,6.08,14.43,0.81,0.85,3.18,3.23,11.16,0.08,1.95,3.9
"4756","K81061",19.58,0.2,6.79,15.76,0.91,0.95,3.58,3.58,12.05,0.14,2.33,8.88
"4757","K81062",17.67,0.18,7.22,13.11,0.9,0.9,3.33,3.53,11.04,0.1,1.65,4.23
"4758","K81063",19.77,0.2,6.64,15.47,0.89,0.93,3.54,3.51,12.09,0.12,2.59,4.9
"4759","K81065",16.22,0.16,7.26,12.01,0.91,0.9,3.47,3.51,10.87,0.1,1.36,3.5
