"","prac.code","bp","bp1","chd","depression","pad_IMD","pad","stroke.IMD","stroke","bp_notdiag","bp.qof","chd.qof","depression.qof"
"89","A82012",25.12,0.25,7.06,16.62,0.97,1.02,3.88,3.8,13.88,0.17,5.39,9.12
"90","A82013",25.73,0.26,7.54,16.53,1.06,1.08,4.36,4.02,14.59,0.16,4.92,5.06
"91","A82014",26,0.26,7.26,15.99,1.01,1.03,4.19,3.91,14.72,0.16,5.04,3.85
"92","A82015",21.4,0.21,7.86,18.22,1.1,1.16,4,4.05,12.48,0.16,5.19,9.07
"93","A82016",23.04,0.23,7.25,17.68,1,1.06,3.75,3.79,12.86,0.15,5.21,11.25
"94","A82017",21.09,0.21,7.09,18.68,0.99,1.05,3.66,3.71,12.23,0.15,4.66,18.32
"95","A82018",21.45,0.21,7.03,17.99,0.96,1.03,3.61,3.68,12.32,0.14,4.81,20.05
"96","A82019",20.18,0.2,7.06,17.83,0.97,1.04,3.69,3.75,11.62,0.12,4.69,3.57
"97","A82020",21.7,0.22,6.96,18.31,0.97,1.03,3.59,3.66,12.31,0.13,5.35,5.32
"98","A82021",23.87,0.24,7.13,16.85,0.98,1.03,3.83,3.82,13.03,0.16,4.57,6.02
"99","A82022",24.49,0.24,7.49,16.56,1.01,1.07,4.01,3.97,13.61,0.19,4.72,9.3
"100","A82023",25.9,0.26,8.09,19.04,1.17,1.21,4.37,4.15,13.92,0.17,6.09,6.88
"101","A82024",28.14,0.28,7.93,16.71,1.11,1.15,4.24,4.11,14.61,0.19,4.72,8.31
"102","A82025",22.08,0.22,6.79,16.81,0.93,0.97,3.7,3.64,12.66,0.13,3.22,8.47
"103","A82026",23.16,0.23,7.04,16.32,0.94,1,3.87,3.81,12.98,0.15,3.97,6.73
"104","A82027",23.57,0.24,7.16,16.27,0.97,1.02,3.92,3.84,13.21,0.16,4.01,8.16
"105","A82028",24.91,0.25,7.26,16.35,0.95,1.01,3.97,3.98,13.83,0.16,4.58,5.5
"106","A82029",24.76,0.25,6.9,16.71,0.97,1,3.97,3.73,14.09,0.17,5.01,4.91
"107","A82030",24.67,0.25,6.82,15.45,0.91,0.97,3.66,3.69,13.61,0.17,4.25,6.98
"108","A82031",24.65,0.25,7.09,16.79,1,1.04,3.93,3.77,14.08,0.19,4.71,10.11
"109","A82032",24.04,0.24,7.73,19.56,1.07,1.14,4.11,4.1,13.06,0.17,4.77,7.82
"110","A82033",25.73,0.26,7.87,18.97,1.06,1.16,3.65,4.08,13.37,0.15,5.36,8.43
"111","A82034",26.74,0.27,7.29,15.56,0.94,1.01,3.94,4.01,13.64,0.19,5.14,9.65
"112","A82035",23.93,0.24,7.32,16.75,1,1.05,3.98,3.89,13.45,0.15,4.56,9.28
"113","A82036",24.05,0.24,7.22,16.58,0.98,1.03,3.97,3.89,13.46,0.16,4.95,5.95
"114","A82037",27.2,0.27,7.9,18.06,1.1,1.16,4.08,4.16,14.01,0.23,6.87,10.42
"115","A82038",23.98,0.24,7.17,16.64,1.01,1.03,4.15,3.83,14.04,0.13,3.58,2.25
"116","A82039",23.38,0.23,7.11,17.69,0.97,1.02,3.79,3.8,13.01,0.17,4.26,10.27
"117","A82040",26.17,0.26,8.32,19.06,1.17,1.23,4.27,4.21,13.76,0.2,5.88,4.92
"118","A82041",23.99,0.24,7.56,19.53,1.06,1.12,3.97,3.92,13.03,0.16,4.88,3.97
"119","A82044",23.85,0.24,7.53,19.28,1.05,1.11,3.95,3.92,13.11,0.16,5.25,9.83
"120","A82045",23.02,0.23,7.33,17.58,1.01,1.07,3.88,3.91,13.05,0.14,5.1,6.12
"121","A82046",21.29,0.21,7.21,16.18,0.96,1.01,3.88,3.86,12.47,0.15,3.31,7.13
"122","A82047",23.85,0.24,7.41,19.82,1.02,1.08,4.06,3.94,13.06,0.17,4.74,3.44
"123","A82048",22.42,0.22,7.13,19.84,0.98,1.04,3.94,3.84,12.58,0.13,4.25,4.13
"124","A82049",23.21,0.23,7.34,19.65,1,1.05,4.06,3.95,12.88,0.12,4.75,0.4
"125","A82050",22.99,0.23,7.36,19.6,1.02,1.08,3.95,3.91,12.7,0.15,4.16,4.63
"126","A82052",22.65,0.23,7.14,16.21,0.98,1.03,3.82,3.78,12.43,0.15,4.51,8.99
"127","A82053",29.38,0.29,7.57,16.19,1.02,1.08,4.11,4.06,14.6,0.21,5.69,9.54
"128","A82055",24.41,0.24,7.19,17.69,1,1.05,3.96,3.88,13.6,0.16,5.2,7.32
